compound_id,SMILES
CHEMBL2105735,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)N[S+]([O-])(=O)C4CC4)C5=CC(=CC=C15)Cl
4810876,CSCC[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC(C(=O)N[C@H](C(=O)NCc2ccc(C)cc2)C(C)C)CC1
ZINC1022020,CN1C(=O)C/N=C(/C2=CC=CC=C2Cl)C3=C1C=CC(=C3)Cl
CHEMBL268248,CN1C(=O)C/N=C(/C2=CC=CC=C2Cl)C3=C1C=CC(=C3)Cl
CHEMBL15313,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl
ZINC40880490,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCCCCC(=O)NO
CHEMBL511749,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C2=CC(=NO2)C(=O)NCCCCCCC(=O)NO
CHEMBL358653,ClC1=CC2=C(OC3=CC=CC=C3CN2C(=O)NNC(=O)CCSCC4=CC=CO4)C=C1
CHEMBL2356122,Cl.O=C(CN(C)Cc2c(NC(=O)c1ccccc1)cccc2Cl)N3CCOCC3
Z235810152,CCN(CC(=O)Nc1ccc2OCCOc2c1)C(=O)CCc1c(C)nc2n(C)nc(C)c2c1C
ZINC77269398,CCCCOC1=C(Cl)C=C(C=C1)C2=CN=CC(=C2)C(=O)NCC3=CC=CN=C3N4CCOCC4
CHEMBL1963681,COC1=C(Cl)C=C(CNC2=C(C=NC(=N2)N3CCC[C@H]3CO)C(=O)NCC4=NC=CC=N4)C=C1
CHEMBL4303365,COC(=O)CCSCC1=CC=C(C=C1)C2=C(NC(=O)OC(C)C3=C(Cl)C=CC=C3)C(=NO2)C
CHEMBL2105689,N#C/C(=C1/SC[C@H](S1)c2ccc(Cl)cc2Cl)n3ccnc3
ZINC100057062,O=C(N[C@@H]1CC[C@H](CC1)CCN2CCC3=C(C2)C=CC(=C3)C#N)C4=C5C=CC=CC5=NC=C4
CHEMBL259656,FC1=CC=C(C=C1)C2(OC3=C(O2)C=C(C(=C3)F)C(=O)N4CCOCC4)C5=C(Cl)C=C(Cl)C=C5
ZINC3789766,NC(=O)[C@@H]2C[C@]1(NC(=O)NC1=O)c3cc(F)ccc3O2
CHEMBL84446,NC(=O)[C@@H]2C[C@]1(NC(=O)NC1=O)c3cc(F)ccc3O2
Z104926054,CC(C)CCn1c(CN2CCN(CC2)c2ncccn2)nc2n(Cc3ccccc3)c(=O)[nH]c(=O)c12
43680058,CCCCn1c(=O)[nH]c(=O)c2c1nc(COC(=O)CN(C)S(=O)(=O)c1ccc(Cl)cc1)n2CCC
PV-001872634019,Cc1cc(CC(=O)NCc2cn(CC(F)(F)F)c(=O)[nH]c2=O)c2ccccc2c1
ZINC37866151,ClC1=CC=C(C[N]2C=C(C(=O)C(=O)NC3=CC=NC=C3)C4=CC=CC=C24)C=C1
ZINC70466416,COC1=C(OC)C=C2C(=CC=NC2=C1)OC3=CC=C(NC(=O)C4(CC4)C(=O)NC5=CC=C(F)C=C5)C=C3
ZINC000070466416,O[C@@H](CC(O)=O)C(O)=O.COc1cc2nccc(Oc3ccc(NC(=O)C4(CC4)C(=O)Nc4ccc(F)cc4)cc3)c2cc1OC
CHEMBL2105717,COC1=C(OC)C=C2C(=CC=NC2=C1)OC3=CC=C(NC(=O)C4(CC4)C(=O)NC5=CC=C(F)C=C5)C=C3
ZINC7724,CC1=CC=C(SC2=C3C=C(SC3=CN=C2)C(N)=O)C=C1
CHEMBL267678,CC1=CC=C(SC2=C3C=C(SC3=CN=C2)C(N)=O)C=C1
CHEMBL198609,NC(=O)[C@H]1CCCCC2=C1[NH]C3=CC=C(Cl)C=C23
ZINC499303,NC(=O)[C@H]1CCCCC2=C1[NH]C3=CC=C(Cl)C=C23
ZINC3872277,Clc1ccc2N=C(C)NS(=O)(=O)c2c1
CHEMBL481537,CCC(C)N(C)C(=O)C1=NC(=C2C=CC=CC2=C1)C3=C(Cl)C=CC=C3
