trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
317,0.29569414586051185,PRUNED,0:00:02.261029,0.008394710380134625,24,27,36,46,0.5692627548343555
318,0.2797831339972699,PRUNED,0:00:11.633507,0.006136142161798608,4,27,36,36,0.5189342907764184
319,0.3570539411505311,PRUNED,0:00:11.620701,0.006393625191779355,4,31,31,36,1.3917435234642197
320,0.2619873784287632,PRUNED,0:00:15.025981,0.004533850691964583,4,34,48,41,0.5125891676332425
321,0.0043048699759958816,COMPLETE,0:01:57.091397,0.0025677698846452244,4,34,46,39,0.5155552820422147
322,0.25606541887593537,PRUNED,0:00:07.089430,0.004466572263162142,9,34,46,39,0.5025091783658974
323,0.3171392400600329,PRUNED,0:00:03.523050,0.00271109590919519,9,32,48,39,0.5370151095158521
324,0.6068220874007676,PRUNED,0:00:01.828849,0.0022736910740900384,9,32,48,39,0.5367594245434755
325,0.682430299532997,PRUNED,0:00:01.112374,0.002257960792824748,15,36,47,38,1.4266466671642815
326,0.2785588965501661,PRUNED,0:00:03.607863,0.00499417084721004,14,35,50,40,1.319146051305129
327,0.6883768171623901,PRUNED,0:00:01.024523,0.004085287829281726,17,44,44,59,1.3208287159888599
328,0.2909097639405416,PRUNED,0:00:05.742680,0.007332755499982877,8,42,50,40,1.3406250417132608
329,0.20029130547422253,PRUNED,0:00:23.490428,0.007595999253348876,8,42,55,30,0.5014313590793075
330,0.32945568847515216,PRUNED,0:00:16.115082,0.00732867426903686,8,42,46,55,1.3698111920453333
331,0.2659582001520124,PRUNED,0:00:07.766423,0.007503444764657923,8,42,34,30,1.3701682180047867
332,1.2624090446221874,PRUNED,0:00:03.806131,0.00011111411738158496,4,40,34,36,1.364749869478717
333,0.595121923468861,PRUNED,0:00:01.743418,0.0030913487602250715,9,31,52,37,0.6809550628578775
334,0.3152380392516721,PRUNED,0:00:02.884087,0.007407487312193916,11,39,22,30,0.5399533400990576
335,0.29254085629027926,PRUNED,0:00:11.488901,0.00981816901281183,4,39,57,35,0.5899666313137105
336,0.7911877603784426,PRUNED,0:00:01.338839,0.0007949116211806814,12,33,55,38,0.5046939337225623
337,0.3327591531303425,PRUNED,0:00:07.482162,0.009582952845678441,4,29,35,35,1.1963947972162994
338,0.004698050416920986,COMPLETE,0:01:59.429979,0.0017516629063449008,4,29,49,35,1.1868526096604923
339,0.3203809974183923,PRUNED,0:00:08.125892,0.0015235060507202056,4,29,50,28,0.5879315951490126
340,0.7088699797037936,PRUNED,0:00:00.947665,0.003254280285083007,18,28,51,43,0.5266509227719066
341,1.4929550300944936,PRUNED,0:00:00.236683,0.001454094887460932,118,29,49,45,0.5948034704571272
342,0.22041761383474598,PRUNED,0:00:08.631982,0.002545505638854929,13,30,49,28,1.4078908549277667
343,0.5955722698798547,PRUNED,0:00:01.282857,0.0021225183799521217,13,25,51,28,1.4546641616781546
344,0.7770371974552449,PRUNED,0:00:01.085957,0.002029008415213187,16,26,50,41,1.4076345475106105
345,1.0163936789571886,PRUNED,0:00:00.940509,0.01458835379304866,19,29,49,59,1.4041434416847662
346,0.20698679882976226,PRUNED,0:00:10.622560,0.002819499306986477,14,30,48,23,1.3064319646416664
347,0.004201577729470683,COMPLETE,0:01:57.216101,0.0017367240984133851,4,28,50,39,1.062509643101727
348,0.6138594790026244,PRUNED,0:00:01.337262,0.00535309513501231,13,30,48,37,1.2974987637014888
349,0.6426754788635602,PRUNED,0:00:00.886221,0.002752169322114101,21,36,36,39,0.5507884123872099
350,0.2076625442966374,PRUNED,0:00:12.474288,0.002775660573085934,12,23,52,40,1.340654473276502
351,0.659707324767885,PRUNED,0:00:01.397935,0.0016862083709998697,13,28,52,40,0.6520953270896644
352,0.31724684756426585,PRUNED,0:00:01.952548,0.0037207185369771433,17,26,37,40,0.6410243350305166
353,0.004688967916467528,COMPLETE,0:02:03.039973,0.0034805284141502537,4,34,36,34,1.0667834692521136
354,0.9840205058831126,PRUNED,0:00:01.771820,0.00032141441396987445,9,33,39,36,1.3215554224411634
355,0.26396354137552186,PRUNED,0:00:14.916117,0.003074986577049393,4,35,36,47,0.7309794640144835
