trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
774,0.46710159625814096,PRUNED,0:00:02.251013,0.0036567084011060254,10,171,157,27,0.1893202454627467,1.1463524760675567
775,0.004072860333046776,COMPLETE,0:00:41.121589,0.0019676768923412554,8,152,154,32,0.13104586998329598,1.2876040459862124
776,0.3530072718858719,PRUNED,0:00:03.838237,0.005593652746263314,9,57,155,69,0.16573586516313396,1.277567447182129
777,1.0570597028844912,PRUNED,0:00:01.546041,0.0008450894728702872,8,150,148,70,0.10230101756590362,1.310417717845176
778,0.005235509875708622,COMPLETE,0:00:40.883212,0.0021056225457589195,8,150,150,84,0.10122377364343282,1.3349286147778994
779,0.006415542152080211,COMPLETE,0:00:34.342082,0.003438062428805008,10,148,151,82,0.12978639691978083,1.2796964427650472
780,0.006355079589919027,COMPLETE,0:00:37.792818,0.003374908555833276,9,155,152,81,0.10032843658949522,1.350601713318527
781,0.33669411240651503,PRUNED,0:00:05.198938,0.003467319080596353,9,153,150,93,0.1564319207037221,1.3426469086900024
782,1.0306923669158368,PRUNED,0:00:00.948051,0.0021316835801196503,13,154,151,78,0.134710966216776,1.338397256412949
783,0.004643299160516097,COMPLETE,0:00:36.913215,0.0023848689589174516,9,69,146,71,0.1343741011105542,1.3006303441644302
784,1.0953200502055032,PRUNED,0:00:00.797129,0.0018453470692869577,16,146,145,101,0.13600510106173366,1.376672950270152
785,0.5396156606797202,PRUNED,0:00:02.624273,0.006752548354388334,9,151,149,80,0.14388079959896566,1.3169262254938994
786,0.2646348764277824,PRUNED,0:00:30.979869,0.0029941790757460297,4,68,146,75,0.13792941297467937,1.2919912174169847
787,0.23954604135753332,PRUNED,0:00:40.580962,0.0033237485155815693,4,144,146,20,0.13249046712358203,1.468414445308559
788,1.0071562388836535,PRUNED,0:00:01.005377,0.0028043475502653654,16,146,155,32,0.15807918399244084,1.2645630859640415
789,1.5856952373430413,PRUNED,0:00:00.849661,0.003444833920370114,14,155,156,29,1.0205784878046456,1.2862991778719242
790,1.0986342456304665,PRUNED,0:00:00.659389,0.0025324413194785303,18,42,152,35,0.17162481819011655,1.2496794679645165
791,0.2952735194315513,PRUNED,0:00:06.823247,0.005014864384579755,13,151,156,31,0.13638414055080886,1.2811693722939135
792,0.004277555978943943,COMPLETE,0:00:24.613063,0.004519635650787322,14,157,116,30,0.16819902701768152,1.2229823399997095
793,1.576382094535275,PRUNED,0:00:00.304206,0.005078006474176108,87,157,158,31,0.18089261643758886,1.2231098446127702
794,0.42213260754942894,PRUNED,0:00:01.565600,0.002614085187057807,15,159,155,20,0.1497656951303993,0.6934553468892675
795,1.0562887759822788,PRUNED,0:00:00.667341,0.0025498590281900334,18,23,164,39,0.18805860548245507,1.0573467765201703
796,1.2698945805691837,PRUNED,0:00:00.503558,0.002532365468561063,26,22,163,20,0.1871869885385427,1.2235520868281513
797,1.3157988504470448,PRUNED,0:00:00.609205,0.0018478624554093446,21,48,164,39,0.19284717672776797,1.0438073580310898
798,1.0886307767769585,PRUNED,0:00:00.559841,0.0041568859663624275,24,51,160,25,0.222317751534521,1.228055379072359
799,1.00921228875541,PRUNED,0:00:00.649265,0.00420908794621825,21,153,160,27,0.23565855322535395,1.210323900086028
800,0.27562838560033104,PRUNED,0:00:26.107704,0.004518863175881875,4,25,29,26,0.15139668811932017,1.2457910459882833
801,1.9415653597924016,PRUNED,0:00:00.198650,0.0032268475648497604,192,70,168,28,0.15283740062909085,1.2496561399552315
802,1.1315584774568397,PRUNED,0:00:00.809683,0.0018528106811211873,14,25,154,34,0.23735903140470777,0.4301147975141768
803,1.0479530955485084,PRUNED,0:00:00.843014,0.0017579757320929604,13,40,153,35,0.1362086703275558,1.2022487576966376
804,0.004998885364453208,COMPLETE,0:01:17.342602,0.0030201244726565197,4,40,157,24,0.16117797235280223,1.3022050049564649
805,0.0055898680940387,COMPLETE,0:01:17.657989,0.0029319780613088252,4,163,158,23,0.1613879721186722,0.9224664303780057
806,0.005308825305337509,COMPLETE,0:00:41.187879,0.003110181124504462,8,163,147,31,0.17584608860924147,1.1217027646827342
807,0.43535956370363993,PRUNED,0:00:02.532564,0.003865430578585666,8,20,157,30,0.3325805631883819,1.120998803026162
808,2.2228097778100233,PRUNED,0:00:00.188163,0.003991472910841497,229,144,156,31,0.3261473883769113,1.118109867160549
809,0.9604920287203049,PRUNED,0:00:01.363667,0.0016704685931309808,8,162,150,23,0.1823295385305439,1.2502042836479406
810,0.5035938502926576,PRUNED,0:00:01.723017,0.010670497524691439,13,26,150,23,0.17341950103642942,1.2382916380859679
811,0.29510708548651454,PRUNED,0:00:06.348650,0.006536908791110836,13,25,161,23,0.167030403984464,1.2063642171754865
812,0.37835096672941476,PRUNED,0:00:07.664847,0.0065480513987375265,4,153,161,28,0.2734829643052002,1.19472921091623
813,0.43169505601590463,PRUNED,0:00:04.884039,0.0023094893530597334,4,31,154,29,0.26484175437114577,1.1861984369436311
814,1.1533647017355977,PRUNED,0:00:00.694622,0.0019835406927626955,17,31,154,36,0.21084313495312934,1.0128780229527343
815,0.9563914852511601,PRUNED,0:00:00.620760,0.005479399281819564,20,31,169,29,0.21748092927506532,1.2676624406482966
816,0.9757957209641684,PRUNED,0:00:00.619070,0.0056903170200410715,20,23,168,26,0.2343256883325588,1.2602061154212736
817,0.48110952259916245,PRUNED,0:00:01.259345,0.008088822800134702,18,23,166,26,0.28021800034372396,1.264011815647758
818,0.4273835358754644,PRUNED,0:00:01.454019,0.005007904552691318,16,164,119,20,0.2629540624788798,1.2905249146213507
819,1.57248281883566,PRUNED,0:00:00.535687,0.004587036566991234,26,37,159,26,0.8431236546379467,1.3133511386901786
820,0.5735473888138987,PRUNED,0:00:01.385132,0.008213136649983216,17,84,124,23,0.2601047120263913,1.2348919089448112
821,0.3031468909572471,PRUNED,0:00:05.201903,0.004660988969459283,15,84,164,31,0.19944707621491287,1.212857156446152
822,0.44698230553456025,PRUNED,0:00:01.603027,0.004637559734007827,15,158,163,23,0.1954263493234556,1.2277713465931877
