trial_number,value,state,duration,lr,batch_size
647,1.336387878932962,PRUNED,0:00:03.066187,0.0006410271160840996,11
648,0.2254617230806763,PRUNED,0:00:06.745281,0.0036171000148227327,11
649,0.21343844399477044,PRUNED,0:00:06.665639,0.003642663848349241,11
650,1.4080236593656468,PRUNED,0:00:03.272179,0.0005722238821794568,11
651,1.0618361639931346,PRUNED,0:00:01.396114,0.003924510628620719,33
652,1.0649872379341092,PRUNED,0:00:01.267079,0.0035175078638505276,31
653,1.0817277741364457,PRUNED,0:00:01.347828,0.0036230394432514683,33
654,0.12696977986725813,PRUNED,0:00:23.569686,0.0028908334097826997,4
655,0.7422171145338904,PRUNED,0:00:03.410421,0.00268271209392934,11
656,0.11079497022561759,PRUNED,0:00:20.216849,0.002815057612122741,7
657,0.2431801217596933,PRUNED,0:00:09.551585,0.00822341696779521,7
658,0.31104017813288914,PRUNED,0:00:17.368175,0.007403054494469301,4
659,0.15423032380785892,PRUNED,0:00:26.346015,0.00807745424945663,4
660,0.19282724804844883,PRUNED,0:00:13.808408,0.0077966952785129716,5
661,0.794942240366775,PRUNED,0:00:01.240921,0.005147667561456325,28
662,0.7824468139801232,PRUNED,0:00:01.470386,0.005364301559833747,27
663,0.20901541471850393,PRUNED,0:00:02.515150,0.007482477465480937,27
664,0.8539154060074226,PRUNED,0:00:01.186503,0.007147475986387816,37
665,0.2594788897509982,PRUNED,0:00:13.672634,0.007719086985317244,5
666,0.7539925569098843,PRUNED,0:00:02.036971,0.0029190898771790006,16
667,0.20644426852707556,PRUNED,0:00:14.636777,0.005036649822113886,4
668,0.7383679448122001,PRUNED,0:00:01.508401,0.0048864683117988104,21
669,2.0531366103518325,PRUNED,0:00:00.485826,0.004799881709686898,155
670,0.09753213661262788,PRUNED,0:00:11.274620,0.0059276742776397055,21
671,0.13518465602046942,PRUNED,0:00:21.554664,0.006025672592790962,4
672,1.0757427834644075,PRUNED,0:00:00.983847,0.005749872424704567,49
673,0.0026409288212639504,COMPLETE,0:00:28.176607,0.0056992802185073166,16
674,3.4183404989373867,PRUNED,0:00:02.497033,4.0378389420786815e-05,15
675,0.27143089153741456,PRUNED,0:00:04.550134,0.015752759410878548,16
676,0.34553555863900015,PRUNED,0:00:03.760096,0.03650037124491629,22
677,0.30648222309772416,PRUNED,0:00:03.534799,0.011287700009747473,22
678,0.12489988464286442,PRUNED,0:00:04.294137,0.011016841272148569,31
679,0.12386209130441055,PRUNED,0:00:03.923327,0.010056392083973114,30
680,0.2828610195359794,PRUNED,0:00:02.778623,0.010529290541361687,31
681,0.10551849530814232,PRUNED,0:00:06.884517,0.011623110055751305,30
682,0.9221213432971792,PRUNED,0:00:01.380935,0.004586131507075467,31
683,1.2131546762923302,PRUNED,0:00:00.887811,0.004400451402320169,43
684,0.8768002454962814,PRUNED,0:00:01.511565,0.0043637623396092125,28
685,0.8499618917703629,PRUNED,0:00:02.455919,0.0018975571169305597,14
686,0.2977676966552993,PRUNED,0:00:04.310475,0.00608874014244291,15
687,1.04790884170444,PRUNED,0:00:02.546954,0.001333748362654519,15
688,1.0279613796640796,PRUNED,0:00:02.433975,0.0017731813602718653,15
689,0.26210659244281637,PRUNED,0:00:04.800746,0.00606871098531738,16
690,0.12117939017528345,PRUNED,0:00:06.096862,0.006095995040760314,18
691,0.12156082272078052,PRUNED,0:00:04.962078,0.006232281580369092,24
692,0.16967778319374918,PRUNED,0:00:03.441225,0.0065462593142321815,24
693,0.11295795801434512,PRUNED,0:00:07.139358,0.00628361109607362,19
694,0.12563923830794468,PRUNED,0:00:05.115488,0.0063742644152183555,25
